k,d,ek,ed,roundSwing,adr,eadr,kast,ekast,rating,playerID,side,team,map,matchID
10.0,14.0,11.0,14.0,-0.67,67.7,71.2,66.7,71.6,0.97,20889,total,illwill,anb,2389203
14.0,17.0,16.0,17.0,-3.79,74.7,77.7,66.7,59.2,0.89,18456,total,illwill,anb,2389203
6.0,13.0,6.0,12.0,-4.09,58.9,61.7,66.7,53.4,0.61,9656,total,illwill,anb,2389203
4.0,15.0,5.0,15.0,-7.48,45.7,53.0,38.9,47.3,0.46,8311,total,illwill,anb,2389203
4.0,5.0,4.0,5.0,-6.4,91.3,96.3,66.7,74.8,0.74,20889,ct,illwill,anb,2389203
2.0,4.0,2.0,4.0,-4.31,57.8,62.0,83.3,56.5,0.58,9656,ct,illwill,anb,2389203
4.0,6.0,5.0,6.0,-8.92,56.5,61.4,66.7,55.7,0.53,18456,ct,illwill,anb,2389203
2.0,4.0,2.0,4.0,-7.96,22.7,24.1,66.7,37.2,0.35,19698,ct,illwill,anb,2389203
1.0,5.0,1.0,5.0,-10.61,47.0,54.1,33.3,18.2,0.23,8311,ct,illwill,anb,2389203
9.0,7.0,9.0,6.0,6.82,73.3,74.9,58.3,60.4,1.44,19698,t,illwill,anb,2389203
6.0,9.0,6.0,9.0,2.2,55.9,58.7,66.7,70.1,1.08,20889,t,illwill,anb,2389203
10.0,11.0,11.0,11.0,-1.22,83.8,85.9,66.7,60.9,1.07,18456,t,illwill,anb,2389203
4.0,9.0,4.0,8.0,-3.98,59.4,61.6,58.3,51.8,0.63,9656,t,illwill,anb,2389203
3.0,10.0,4.0,10.0,-5.91,45.1,52.5,41.7,61.9,0.57,8311,t,illwill,anb,2389203
20.0,14.0,21.0,14.0,1.71,94.6,95.4,87.0,91.1,1.47,23319,total,Nemiga,nuke,2389203
